dataset,Time,accuracy,loss,layers,Ephoch,hidden layers,weight decay,learning rate,Order of Phases
cora,1.077531099319458,0.837,0.716870129108429,2,200,16,0.0005,0.01,2
cora,1.1241881847381592,0.832,0.6833637952804565,2,200,20,0.0005,0.01,2
cora,0.9722669124603271,0.841,0.659061849117279,2,200,30,0.0005,0.01,2
cora,1.0929081439971924,0.834,0.6409172415733337,2,200,40,0.0005,0.01,2
cora,1.1848711967468262,0.836,0.6236176490783691,2,200,50,0.0005,0.01,2
cora,1.2529542446136475,0.827,0.6298419833183289,2,200,60,0.0005,0.01,2
cora,1.4152641296386719,0.832,0.6139187216758728,2,200,70,0.0005,0.01,2
cora,1.4470758438110352,0.827,0.6107265949249268,2,200,80,0.0005,0.01,2
cora,1.5419998168945312,0.829,0.6094096302986145,2,200,90,0.0005,0.01,2
cora,1.7142770290374756,0.829,0.6021764874458313,2,200,100,0.0005,0.01,2
cora,1.0054740905761719,0.81,0.8376187086105347,2,200,10,0.0005,0.01,2
cora,0.9658081531524658,0.736,1.0691899061203003,2,200,5,0.0005,0.01,2
cora,0.5752890110015869,0.362,1.7099344730377197,2,200,1,0.0005,0.01,2
