dataset,Time,accuracy,loss,layers,Ephoch,hidden layers,weight decay,learning rate,Order of Phases
cora,0.15511202812194824,0.309,1.7996727228164673,2,25,16,0.0005,0.01,2
cora,0.2831838130950928,0.368,1.6404474973678589,2,50,16,0.0005,0.01,2
cora,0.42159414291381836,0.551,1.3768988847732544,2,75,16,0.0005,0.01,2
cora,0.564183235168457,0.762,1.0598477125167847,2,100,16,0.0005,0.01,2
cora,0.6825449466705322,0.809,0.8659707307815552,2,125,16,0.0005,0.01,2
cora,0.8462390899658203,0.817,0.7930707335472107,2,150,16,0.0005,0.01,2
cora,0.9734280109405518,0.829,0.7510390281677246,2,175,16,0.0005,0.01,2
cora,1.118643045425415,0.831,0.7167242169380188,2,200,16,0.0005,0.01,2
cora,1.3489582538604736,0.836,0.6896321177482605,2,250,16,0.0005,0.01,2
cora,1.6673767566680908,0.836,0.646898090839386,2,300,16,0.0005,0.01,2
cora,1.8695011138916016,0.84,0.6316772103309631,2,350,16,0.0005,0.01,2
cora,2.210725784301758,0.835,0.6290592551231384,2,400,16,0.0005,0.01,2
cora,2.459439754486084,0.84,0.6063217520713806,2,450,16,0.0005,0.01,2
cora,2.850287914276123,0.835,0.6141828894615173,2,500,16,0.0005,0.01,2
cora,2.8953750133514404,0.833,0.602638304233551,2,550,16,0.0005,0.01,2
cora,3.1431868076324463,0.834,0.6224419474601746,2,600,16,0.0005,0.01,2
