dataset,Time,accuracy,loss,layers,Ephoch,hidden layers,weight decay,learning rate,Order of Phases
cora,2.1559391021728516,0.827,0.6382737755775452,3,400,16,0.0005,0.01,2
cora,2.2113099098205566,0.835,0.65887051820755,4,400,16,0.0005,0.01,2
cora,2.158475160598755,0.829,0.6621683239936829,5,400,16,0.0005,0.01,2
cora,2.1491336822509766,0.83,0.6492456197738647,6,400,16,0.0005,0.01,2
cora,2.7272589206695557,0.78,0.8469342589378357,6,400,16,0.0005,0.01,2
cora,2.6382699012756348,0.799,0.6703232526779175,6,400,16,0.0005,0.01,2
cora,2.1941912174224854,0.834,0.6491836905479431,6,400,16,0.0005,0.01,2
cora,2.061784029006958,0.828,0.618860125541687,6,400,16,0.0005,0.01,2
cora,2.3374929428100586,0.764,0.8288466334342957,6,400,16,0.0005,0.01,2
cora,2.598223924636841,0.716,2.0700509548187256,6,400,16,0.0005,0.01,2
cora,2.9045181274414062,0.534,3.938059091567993,6,400,16,0.0005,0.01,2
cora,3.3325729370117188,0.522,1.9432569742202759,6,400,16,0.0005,0.01,2
cora,2.9536490440368652,0.511,1.8519290685653687,6,400,16,0.0005,0.01,2
cora,2.5518808364868164,0.796,0.7818260788917542,6,400,16,0.0005,0.01,2
cora,2.1323890686035156,0.835,0.669670045375824,6,400,16,0.0005,0.01,2
cora,2.5516653060913086,0.808,0.6006097197532654,6,400,16,0.0005,0.01,2
cora,2.55867075920105,0.765,0.7874478101730347,6,400,16,0.0005,0.01,2
cora,2.9529809951782227,0.577,1.6445380449295044,6,400,16,0.0005,0.01,2
cora,3.140136957168579,0.541,1.8469277620315552,6,400,16,0.0005,0.01,2
cora,3.0988011360168457,0.627,1.568671703338623,6,400,16,0.0005,0.01,2
cora,3.2479817867279053,0.566,1.6064800024032593,6,400,16,0.0005,0.01,2
cora,3.15671706199646,0.545,1.9140515327453613,6,400,16,0.0005,0.01,2
cora,2.469589948654175,0.424,5.003793716430664,6,400,16,0.0005,0.01,2
cora,2.5220422744750977,0.424,5.003793716430664,6,400,16,0.0005,0.01,2
cora,2.5196380615234375,0.424,5.003793716430664,6,400,16,0.0005,0.01,2
cora,4.12659215927124,0.443,3.5184311866760254,6,400,16,0.0005,0.01,2
cora,2.517627000808716,0.424,5.003793716430664,6,400,16,0.0005,0.01,2
cora,2.508091926574707,0.346,4.9362006187438965,6,400,16,0.0005,0.01,2
cora,2.9682071208953857,0.521,1.9285273551940918,6,400,16,0.0005,0.01,2
cora,2.955812931060791,0.545,1.8211487531661987,6,400,16,0.0005,0.01,2
cora,2.280200958251953,0.665,1.7874767780303955,6,400,16,0.0005,0.01,2
cora,2.6900737285614014,0.793,1.1958630084991455,6,400,16,0.0005,0.01,2
cora,2.3248231410980225,0.536,2.099219799041748,6,400,16,0.0005,0.01,2
cora,2.660557746887207,0.82,1.2603455781936646,6,400,16,0.0005,0.01,2
cora,2.3141701221466064,0.536,2.099219799041748,6,400,16,0.0005,0.01,2
cora,2.2094149589538574,0.536,2.099219799041748,6,400,16,0.0005,0.01,2
cora,2.730297088623047,0.773,1.3380447626113892,6,400,16,0.0005,0.01,2
